Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
4/23/2022,11,12,Wind,113,Saturday,April,Spring,7331
10/2/2023,18,19,Wind,275,Monday,October,Fall,4842
1/3/2024,18,19,Wind,3,Wednesday,January,Winter,18044
10/14/2021,8,9,Wind,287,Thursday,October,Fall,2391
1/12/2020,7,8,Wind,12,Sunday,January,Winter,7395
7/8/2023,18,19,Solar,189,Saturday,July,Summer,4324
4/6/2025,18,19,Wind,96,Sunday,April,Spring,10223
11/1/2021,4,5,Wind,305,Monday,November,Fall,8718
4/20/2023,13,14,Wind,110,Thursday,April,Spring,12448
6/29/2024,23,0,Wind,181,Saturday,June,Summer,3681
11/28/2022,19,20,Wind,332,Monday,November,Fall,3265
3/10/2024,4,5,Wind,70,Sunday,March,Spring,2756
3/28/2021,3,4,Wind,87,Sunday,March,Spring,3508
8/25/2023,1,2,Wind,237,Friday,August,Summer,2215
10/19/2021,22,23,Wind,292,Tuesday,October,Fall,10753
9/2/2024,9,10,Solar,246,Monday,September,Fall,4316
5/23/2023,7,8,Wind,143,Tuesday,May,Spring,6042
5/3/2020,4,5,Wind,124,Sunday,May,Spring,1977
5/9/2024,4,5,Wind,130,Thursday,May,Spring,3813
5/17/2024,8,9,Solar,138,Friday,May,Spring,3361
2/12/2023,6,7,Wind,43,Sunday,February,Winter,2940
7/29/2025,16,17,Solar,210,Tuesday,July,Summer,10808
9/29/2021,23,0,Wind,272,Wednesday,September,Fall,2764
7/4/2020,20,21,Wind,186,Saturday,July,Summer,7973
12/27/2022,20,21,Wind,361,Tuesday,December,Winter,9837
11/12/2024,5,6,Wind,317,Tuesday,November,Fall,9736
9/6/2022,22,23,Wind,249,Tuesday,September,Fall,2980
11/26/2025,11,12,Solar,330,Wednesday,November,Fall,6772
5/20/2020,13,14,Solar,141,Wednesday,May,Spring,5433
8/30/2025,5,6,Wind,242,Saturday,August,Summer,4447
4/14/2024,17,18,Solar,105,Sunday,April,Spring,5047
9/30/2021,16,17,Wind,273,Thursday,September,Fall,6986
8/25/2024,2,3,Wind,238,Sunday,August,Summer,6839
3/23/2024,17,18,Wind,83,Saturday,March,Spring,15588
3/7/2022,14,15,Wind,66,Monday,March,Spring,10522
8/29/2021,13,14,Solar,241,Sunday,August,Summer,7380
5/3/2020,16,17,Solar,124,Sunday,May,Spring,4316
3/4/2025,6,7,Wind,63,Tuesday,March,Spring,2904
8/19/2022,19,20,Wind,231,Friday,August,Summer,4511
11/5/2024,21,22,Wind,310,Tuesday,November,Fall,91
11/26/2020,13,14,Solar,331,Thursday,November,Fall,3501
11/22/2023,20,21,Wind,326,Wednesday,November,Fall,4282
3/30/2021,6,7,Wind,89,Tuesday,March,Spring,2984
9/25/2025,7,8,Wind,268,Thursday,September,Fall,3047
8/31/2022,10,11,Solar,243,Wednesday,August,Summer,4337
1/15/2024,8,9,Wind,15,Monday,January,Winter,3779
8/19/2022,6,7,Wind,231,Friday,August,Summer,2570
7/17/2022,11,12,Solar,198,Sunday,July,Summer,8145
2/14/2022,8,9,Wind,45,Monday,February,Winter,11199
12/7/2020,0,1,Wind,342,Monday,December,Winter,1051
1/3/2025,20,21,Wind,3,Friday,January,Winter,3705
10/10/2024,6,7,Wind,284,Thursday,October,Fall,8274
7/13/2024,19,20,Solar,195,Saturday,July,Summer,2289
10/13/2021,10,11,Solar,286,Wednesday,October,Fall,4051
2/19/2021,7,8,Wind,50,Friday,February,Winter,5554
3/8/2025,20,21,Wind,67,Saturday,March,Spring,12639
11/3/2020,22,23,Wind,308,Tuesday,November,Fall,3571
6/6/2024,22,23,Wind,158,Thursday,June,Summer,2561
9/30/2024,16,17,Wind,274,Monday,September,Fall,11102
4/11/2020,2,3,Wind,102,Saturday,April,Spring,3011
6/29/2022,8,9,Solar,180,Wednesday,June,Summer,2385
6/15/2021,8,9,Solar,166,Tuesday,June,Summer,2124
8/14/2022,2,3,Wind,226,Sunday,August,Summer,4666
5/5/2022,3,4,Wind,125,Thursday,May,Spring,2050
8/7/2022,20,21,Wind,219,Sunday,August,Summer,6195
8/31/2024,16,17,Solar,244,Saturday,August,Summer,7347
6/23/2022,18,19,Wind,174,Thursday,June,Summer,3896
8/10/2025,7,8,Wind,222,Sunday,August,Summer,3182
6/7/2020,6,7,Wind,159,Sunday,June,Summer,2147
1/1/2021,4,5,Wind,1,Friday,January,Winter,998
1/25/2021,2,3,Wind,25,Monday,January,Winter,6191
8/20/2022,23,0,Wind,232,Saturday,August,Summer,981
3/8/2021,22,23,Wind,67,Monday,March,Spring,2943
10/11/2023,23,0,Wind,284,Wednesday,October,Fall,7262
12/31/2020,1,2,Wind,366,Thursday,December,Winter,5746
3/31/2021,9,10,Wind,90,Wednesday,March,Spring,3600
8/23/2020,13,14,Wind,236,Sunday,August,Summer,8729
12/1/2021,21,22,Wind,335,Wednesday,December,Winter,5719
1/11/2024,14,15,Wind,11,Thursday,January,Winter,8407
4/19/2022,21,22,Wind,109,Tuesday,April,Spring,4160
7/30/2023,22,23,Wind,211,Sunday,July,Summer,5928
5/20/2025,18,19,Wind,140,Tuesday,May,Spring,8914
6/13/2025,17,18,Solar,164,Friday,June,Summer,8341
4/30/2025,12,13,Solar,120,Wednesday,April,Spring,5410
7/6/2022,14,15,Solar,187,Wednesday,July,Summer,7868
6/7/2020,10,11,Solar,159,Sunday,June,Summer,3437
2/19/2021,16,17,Wind,50,Friday,February,Winter,6776
5/11/2024,0,1,Wind,132,Saturday,May,Spring,6497
7/7/2021,12,13,Solar,188,Wednesday,July,Summer,5172
7/20/2020,14,15,Solar,202,Monday,July,Summer,5919
2/24/2025,16,17,Wind,55,Monday,February,Winter,9544
4/15/2020,20,21,Wind,106,Wednesday,April,Spring,3450
6/2/2023,6,7,Wind,153,Friday,June,Summer,7517
1/19/2023,2,3,Wind,19,Thursday,January,Winter,3478
11/16/2021,19,20,Wind,320,Tuesday,November,Fall,1157
7/1/2025,4,5,Wind,182,Tuesday,July,Summer,1055
2/21/2023,9,10,Wind,52,Tuesday,February,Winter,3045
8/9/2024,7,8,Wind,222,Friday,August,Summer,5677
3/25/2020,9,10,Wind,85,Wednesday,March,Spring,4738
9/19/2024,15,16,Wind,263,Thursday,September,Fall,15959
8/24/2025,21,22,Wind,236,Sunday,August,Summer,3236
3/4/2022,18,19,Wind,63,Friday,March,Spring,3151
7/21/2023,21,22,Wind,202,Friday,July,Summer,3094
7/4/2025,18,19,Solar,185,Friday,July,Summer,5949
1/3/2024,7,8,Wind,3,Wednesday,January,Winter,17121
9/14/2025,18,19,Wind,257,Sunday,September,Fall,13786
6/30/2024,2,3,Wind,182,Sunday,June,Summer,3727
12/19/2023,16,17,Wind,353,Tuesday,December,Winter,12111
3/26/2022,13,14,Wind,85,Saturday,March,Spring,13203
2/9/2021,5,6,Wind,40,Tuesday,February,Winter,1784
2/5/2025,3,4,Wind,36,Wednesday,February,Winter,2214
5/31/2025,5,6,Wind,151,Saturday,May,Spring,1059
10/31/2021,7,8,Wind,304,Sunday,October,Fall,10139
4/27/2025,14,15,Solar,117,Sunday,April,Spring,4067
2/13/2022,21,22,Wind,44,Sunday,February,Winter,15035
6/23/2024,5,6,Wind,175,Sunday,June,Summer,2326
4/21/2025,11,12,Solar,111,Monday,April,Spring,8025
3/16/2021,5,6,Wind,75,Tuesday,March,Spring,3210
4/29/2023,2,3,Wind,119,Saturday,April,Spring,1638
12/23/2022,20,21,Wind,357,Friday,December,Winter,12401
1/30/2021,16,17,Wind,30,Saturday,January,Winter,6987
7/30/2020,1,2,Wind,212,Thursday,July,Summer,2163
5/5/2021,18,19,Wind,125,Wednesday,May,Spring,8828
2/4/2021,23,0,Wind,35,Thursday,February,Winter,3467
1/19/2021,9,10,Wind,19,Tuesday,January,Winter,11722
7/21/2023,23,0,Wind,202,Friday,July,Summer,3035
6/8/2023,4,5,Wind,159,Thursday,June,Summer,4806
5/14/2023,21,22,Wind,134,Sunday,May,Spring,3817
6/19/2025,6,7,Wind,170,Thursday,June,Summer,4893
5/18/2023,10,11,Solar,138,Thursday,May,Spring,7144
2/15/2025,7,8,Wind,46,Saturday,February,Winter,5705
11/20/2024,12,13,Wind,325,Wednesday,November,Fall,9330
9/22/2020,15,16,Solar,266,Tuesday,September,Fall,2638
12/15/2024,17,18,Wind,350,Sunday,December,Winter,8504
11/20/2024,8,9,Wind,325,Wednesday,November,Fall,5746
6/14/2023,0,1,Wind,165,Wednesday,June,Summer,4779
3/11/2022,17,18,Wind,70,Friday,March,Spring,11304
4/28/2023,18,19,Wind,118,Friday,April,Spring,6113
4/1/2024,14,15,Wind,92,Monday,April,Spring,9631
9/13/2023,14,15,Solar,256,Wednesday,September,Fall,5717
5/29/2021,10,11,Solar,149,Saturday,May,Spring,4347
4/1/2024,19,20,Wind,92,Monday,April,Spring,9379
12/3/2021,2,3,Wind,337,Friday,December,Winter,2724
11/9/2023,18,19,Wind,313,Thursday,November,Fall,13237
1/13/2023,7,8,Wind,13,Friday,January,Winter,14510
1/22/2023,8,9,Wind,22,Sunday,January,Winter,5974
4/13/2020,7,8,Wind,104,Monday,April,Spring,5354
6/29/2022,3,4,Wind,180,Wednesday,June,Summer,1211
4/29/2020,20,21,Wind,120,Wednesday,April,Spring,6006
10/5/2021,14,15,Wind,278,Tuesday,October,Fall,12713
8/27/2025,8,9,Wind,239,Wednesday,August,Summer,3210
6/23/2023,4,5,Wind,174,Friday,June,Summer,1872
5/4/2021,4,5,Wind,124,Tuesday,May,Spring,13020
5/3/2021,3,4,Wind,123,Monday,May,Spring,632
9/10/2023,2,3,Wind,253,Sunday,September,Fall,3759
7/22/2024,10,11,Solar,204,Monday,July,Summer,7974
6/20/2020,20,21,Wind,172,Saturday,June,Summer,1472
9/1/2024,1,2,Wind,245,Sunday,September,Fall,4179
8/7/2023,15,16,Solar,219,Monday,August,Summer,9917
8/9/2022,19,20,Wind,221,Tuesday,August,Summer,7289
5/11/2021,0,1,Wind,131,Tuesday,May,Spring,2157
2/5/2021,23,0,Wind,36,Friday,February,Winter,2434
11/23/2024,14,15,Wind,328,Saturday,November,Fall,19392
2/4/2025,18,19,Wind,35,Tuesday,February,Winter,3899
12/24/2020,0,1,Wind,359,Thursday,December,Winter,11579
6/19/2023,11,12,Solar,170,Monday,June,Summer,5286
2/24/2024,6,7,Wind,55,Saturday,February,Winter,7785
11/20/2023,20,21,Wind,324,Monday,November,Fall,8192
10/26/2021,10,11,Wind,299,Tuesday,October,Fall,3866
9/3/2021,18,19,Solar,246,Friday,September,Fall,1713
8/21/2022,2,3,Wind,233,Sunday,August,Summer,603
5/17/2024,22,23,Wind,138,Friday,May,Spring,897
3/5/2024,20,21,Wind,65,Tuesday,March,Spring,3263
5/24/2023,7,8,Wind,144,Wednesday,May,Spring,5947
9/13/2020,12,13,Solar,257,Sunday,September,Fall,3974
10/7/2021,2,3,Wind,280,Thursday,October,Fall,1888
10/26/2025,3,4,Wind,299,Sunday,October,Fall,9730
11/13/2024,19,20,Wind,318,Wednesday,November,Fall,5232
3/5/2025,0,1,Wind,64,Wednesday,March,Spring,2433
3/17/2022,0,1,Wind,76,Thursday,March,Spring,5222
11/3/2022,8,9,Wind,307,Thursday,November,Fall,10595
4/22/2023,18,19,Wind,112,Saturday,April,Spring,6589
9/6/2024,15,16,Solar,250,Friday,September,Fall,6409
8/23/2021,17,18,Wind,235,Monday,August,Summer,7555
2/6/2020,14,15,Solar,37,Thursday,February,Winter,4784
10/24/2020,21,22,Wind,298,Saturday,October,Fall,11731
4/6/2021,9,10,Wind,96,Tuesday,April,Spring,4798
11/12/2020,3,4,Wind,317,Thursday,November,Fall,7385
4/22/2021,5,6,Wind,112,Thursday,April,Spring,5855
6/18/2021,22,23,Wind,169,Friday,June,Summer,3480
12/6/2022,21,22,Wind,340,Tuesday,December,Winter,2155
11/17/2021,4,5,Wind,321,Wednesday,November,Fall,1951
10/18/2025,10,11,Solar,291,Saturday,October,Fall,8416
4/15/2020,2,3,Wind,106,Wednesday,April,Spring,6207
2/17/2020,22,23,Wind,48,Monday,February,Winter,10239
3/16/2025,4,5,Wind,75,Sunday,March,Spring,8436
5/9/2021,3,4,Wind,129,Sunday,May,Spring,7771
8/12/2020,8,9,Wind,225,Wednesday,August,Summer,2236
10/13/2021,22,23,Wind,286,Wednesday,October,Fall,2205
9/11/2024,21,22,Wind,255,Wednesday,September,Fall,5700
11/7/2024,8,9,Wind,312,Thursday,November,Fall,2657
3/31/2020,23,0,Wind,91,Tuesday,March,Spring,7111
10/18/2023,9,10,Wind,291,Wednesday,October,Fall,11888
12/30/2021,5,6,Wind,364,Thursday,December,Winter,8676
6/5/2021,9,10,Solar,156,Saturday,June,Summer,4441
2/18/2024,14,15,Wind,49,Sunday,February,Winter,13623
8/7/2020,11,12,Solar,220,Friday,August,Summer,3922
2/12/2024,22,23,Wind,43,Monday,February,Winter,3745
3/9/2024,4,5,Wind,69,Saturday,March,Spring,11240
9/5/2022,8,9,Wind,248,Monday,September,Fall,3208
10/14/2020,3,4,Wind,288,Wednesday,October,Fall,1902
10/12/2023,13,14,Solar,285,Thursday,October,Fall,9093
12/20/2023,0,1,Wind,354,Wednesday,December,Winter,9136
11/28/2021,22,23,Wind,332,Sunday,November,Fall,5114
8/29/2024,3,4,Wind,242,Thursday,August,Summer,2495
4/22/2023,9,10,Wind,112,Saturday,April,Spring,6597
10/2/2024,14,15,Solar,276,Wednesday,October,Fall,5400
5/25/2023,11,12,Wind,145,Thursday,May,Spring,14511
1/21/2024,17,18,Wind,21,Sunday,January,Winter,14481
5/21/2020,0,1,Wind,142,Thursday,May,Spring,2748
3/4/2023,18,19,Wind,63,Saturday,March,Spring,3131
3/21/2022,9,10,Wind,80,Monday,March,Spring,5460
1/2/2023,10,11,Wind,2,Monday,January,Winter,5987
1/20/2023,20,21,Wind,20,Friday,January,Winter,5467
7/22/2023,7,8,Wind,203,Saturday,July,Summer,2381
11/17/2025,9,10,Wind,321,Monday,November,Fall,8893
1/15/2025,22,23,Wind,15,Wednesday,January,Winter,3441
10/15/2023,18,19,Wind,288,Sunday,October,Fall,3213
7/5/2024,15,16,Solar,187,Friday,July,Summer,11741
8/15/2024,17,18,Solar,228,Thursday,August,Summer,8514
10/1/2021,13,14,Wind,274,Friday,October,Fall,9911
1/21/2022,4,5,Wind,21,Friday,January,Winter,4963
12/19/2022,7,8,Wind,353,Monday,December,Winter,13202
8/13/2025,5,6,Wind,225,Wednesday,August,Summer,1029
12/22/2021,9,10,Wind,356,Wednesday,December,Winter,3623
5/26/2025,17,18,Wind,146,Monday,May,Spring,10107
3/19/2024,21,22,Wind,79,Tuesday,March,Spring,1227
1/17/2022,1,2,Wind,17,Monday,January,Winter,1358
10/15/2023,19,20,Wind,288,Sunday,October,Fall,3573
2/16/2025,12,13,Solar,47,Sunday,February,Winter,8762
10/7/2022,2,3,Wind,280,Friday,October,Fall,1154
9/15/2021,4,5,Wind,258,Wednesday,September,Fall,1977
3/6/2025,22,23,Wind,65,Thursday,March,Spring,10880
12/9/2021,15,16,Wind,343,Thursday,December,Winter,5400
1/2/2023,0,1,Wind,2,Monday,January,Winter,11969
4/17/2021,23,0,Wind,107,Saturday,April,Spring,5520
7/30/2021,2,3,Wind,211,Friday,July,Summer,1817
8/24/2020,19,20,Wind,237,Monday,August,Summer,1914
5/15/2020,3,4,Wind,136,Friday,May,Spring,7329
11/24/2023,16,17,Wind,328,Friday,November,Fall,11600
9/6/2023,22,23,Wind,249,Wednesday,September,Fall,3137
11/3/2025,16,17,Wind,307,Monday,November,Fall,8685
10/27/2025,16,17,Wind,300,Monday,October,Fall,15610
6/28/2025,0,1,Wind,179,Saturday,June,Summer,1627
6/10/2025,3,4,Wind,161,Tuesday,June,Summer,1674
5/31/2022,2,3,Wind,151,Tuesday,May,Spring,1818
10/14/2020,14,15,Wind,288,Wednesday,October,Fall,7046
8/14/2023,7,8,Wind,226,Monday,August,Summer,2587
7/23/2020,4,5,Wind,205,Thursday,July,Summer,1527
4/16/2022,12,13,Solar,106,Saturday,April,Spring,10869
4/16/2025,18,19,Wind,106,Wednesday,April,Spring,4853
6/5/2021,0,1,Wind,156,Saturday,June,Summer,2191
4/24/2020,22,23,Wind,115,Friday,April,Spring,2176
11/23/2023,12,13,Wind,327,Thursday,November,Fall,7931
11/10/2023,4,5,Wind,314,Friday,November,Fall,12591
9/24/2024,9,10,Wind,268,Tuesday,September,Fall,8855
2/22/2025,15,16,Wind,53,Saturday,February,Winter,10495
5/5/2025,5,6,Wind,125,Monday,May,Spring,9828
3/5/2025,10,11,Solar,64,Wednesday,March,Spring,8585
6/28/2024,4,5,Wind,180,Friday,June,Summer,3214
10/16/2020,11,12,Wind,290,Friday,October,Fall,4358
1/6/2023,5,6,Wind,6,Friday,January,Winter,7744
9/5/2022,5,6,Wind,248,Monday,September,Fall,2599
11/25/2022,12,13,Wind,329,Friday,November,Fall,6116
12/14/2020,0,1,Wind,349,Monday,December,Winter,9700
12/23/2023,9,10,Wind,357,Saturday,December,Winter,14222
10/4/2022,19,20,Wind,277,Tuesday,October,Fall,937
8/26/2020,7,8,Wind,239,Wednesday,August,Summer,8615
10/7/2023,2,3,Wind,280,Saturday,October,Fall,1790
1/26/2020,9,10,Wind,26,Sunday,January,Winter,3118
1/5/2022,20,21,Wind,5,Wednesday,January,Winter,4018
11/26/2025,20,21,Wind,330,Wednesday,November,Fall,2920
6/15/2022,22,23,Wind,166,Wednesday,June,Summer,2879
9/26/2021,1,2,Wind,269,Sunday,September,Fall,2233
7/28/2023,21,22,Wind,209,Friday,July,Summer,3768
6/4/2022,8,9,Wind,155,Saturday,June,Summer,3189
1/10/2020,10,11,Wind,10,Friday,January,Winter,6407
9/30/2024,4,5,Wind,274,Monday,September,Fall,12240
10/1/2024,5,6,Wind,275,Tuesday,October,Fall,7834
11/18/2025,21,22,Wind,322,Tuesday,November,Fall,8784
4/3/2024,23,0,Wind,94,Wednesday,April,Spring,11683
10/31/2025,2,3,Wind,304,Friday,October,Fall,10049
2/22/2025,2,3,Wind,53,Saturday,February,Winter,10894
7/27/2023,14,15,Wind,208,Thursday,July,Summer,16122
9/17/2024,18,19,Wind,261,Tuesday,September,Fall,13680
12/6/2021,10,11,Wind,340,Monday,December,Winter,3931
11/25/2023,2,3,Wind,329,Saturday,November,Fall,8586
2/26/2021,10,11,Wind,57,Friday,February,Winter,3948
7/3/2020,23,0,Wind,185,Friday,July,Summer,2522
3/19/2024,1,2,Wind,79,Tuesday,March,Spring,1178
11/12/2021,12,13,Solar,316,Friday,November,Fall,4637
9/20/2023,16,17,Wind,263,Wednesday,September,Fall,14551
1/23/2022,16,17,Wind,23,Sunday,January,Winter,3865
9/30/2024,12,13,Wind,274,Monday,September,Fall,20041
11/11/2020,22,23,Wind,316,Wednesday,November,Fall,7638
1/17/2021,4,5,Wind,17,Sunday,January,Winter,5008
11/26/2020,6,7,Wind,331,Thursday,November,Fall,2436
9/14/2023,5,6,Wind,257,Thursday,September,Fall,710
12/17/2020,7,8,Wind,352,Thursday,December,Winter,5368
11/10/2022,17,18,Wind,314,Thursday,November,Fall,3142
7/2/2022,22,23,Wind,183,Saturday,July,Summer,1832
3/17/2023,9,10,Wind,76,Friday,March,Spring,9108
3/29/2023,12,13,Solar,88,Wednesday,March,Spring,9902
6/27/2025,11,12,Solar,178,Friday,June,Summer,9500
2/9/2025,5,6,Wind,40,Sunday,February,Winter,3088
9/18/2020,14,15,Wind,262,Friday,September,Fall,6021
11/18/2024,7,8,Wind,323,Monday,November,Fall,9481
4/19/2022,11,12,Solar,109,Tuesday,April,Spring,4623
11/27/2020,10,11,Wind,332,Friday,November,Fall,2632
11/16/2020,11,12,Wind,321,Monday,November,Fall,9214
2/12/2020,2,3,Wind,43,Wednesday,February,Winter,9274
7/15/2021,0,1,Wind,196,Thursday,July,Summer,7907
11/27/2025,4,5,Wind,331,Thursday,November,Fall,6967
8/5/2024,14,15,Solar,218,Monday,August,Summer,8671
5/16/2021,20,21,Wind,136,Sunday,May,Spring,9142
2/24/2021,21,22,Wind,55,Wednesday,February,Winter,6699
3/5/2020,6,7,Wind,65,Thursday,March,Spring,5871
6/3/2024,1,2,Wind,155,Monday,June,Summer,3047
2/6/2025,7,8,Wind,37,Thursday,February,Winter,5595
9/2/2023,2,3,Wind,245,Saturday,September,Fall,2089
11/14/2022,16,17,Wind,318,Monday,November,Fall,4420
1/31/2020,9,10,Wind,31,Friday,January,Winter,6229
6/13/2021,7,8,Wind,164,Sunday,June,Summer,2420
8/14/2024,19,20,Wind,227,Wednesday,August,Summer,3688
5/25/2024,18,19,Solar,146,Saturday,May,Spring,3720
12/27/2020,22,23,Wind,362,Sunday,December,Winter,7389
4/1/2020,13,14,Solar,92,Wednesday,April,Spring,5326
1/18/2023,18,19,Wind,18,Wednesday,January,Winter,5216
3/13/2021,23,0,Wind,72,Saturday,March,Spring,11499
7/25/2024,9,10,Solar,207,Thursday,July,Summer,4811
12/25/2024,11,12,Solar,360,Wednesday,December,Winter,3467
6/23/2023,6,7,Wind,174,Friday,June,Summer,1435
4/22/2022,14,15,Solar,112,Friday,April,Spring,8327
3/16/2020,14,15,Wind,76,Monday,March,Spring,3423
6/6/2022,1,2,Wind,157,Monday,June,Summer,2710
12/11/2021,0,1,Wind,345,Saturday,December,Winter,10034
10/12/2021,8,9,Wind,285,Tuesday,October,Fall,2616
4/8/2025,11,12,Solar,98,Tuesday,April,Spring,9010
7/30/2025,11,12,Solar,211,Wednesday,July,Summer,7443
12/19/2020,8,9,Wind,354,Saturday,December,Winter,11340
7/6/2023,13,14,Solar,187,Thursday,July,Summer,7124
6/13/2021,15,16,Solar,164,Sunday,June,Summer,4905
7/11/2020,10,11,Solar,193,Saturday,July,Summer,4169
9/4/2020,18,19,Solar,248,Friday,September,Fall,2508
8/18/2020,21,22,Wind,231,Tuesday,August,Summer,697
6/23/2024,19,20,Solar,175,Sunday,June,Summer,3387
12/18/2020,5,6,Wind,353,Friday,December,Winter,5793
10/4/2025,6,7,Wind,277,Saturday,October,Fall,17093
3/12/2024,22,23,Wind,72,Tuesday,March,Spring,8894
10/21/2024,9,10,Wind,295,Monday,October,Fall,5133
3/11/2025,22,23,Wind,70,Tuesday,March,Spring,4647
8/6/2021,13,14,Wind,218,Friday,August,Summer,12722
1/25/2025,15,16,Wind,25,Saturday,January,Winter,5523
3/12/2020,3,4,Wind,72,Thursday,March,Spring,10434
12/28/2021,1,2,Wind,362,Tuesday,December,Winter,12227
6/8/2023,7,8,Wind,159,Thursday,June,Summer,4772
10/3/2024,11,12,Wind,277,Thursday,October,Fall,11198
1/18/2023,19,20,Wind,18,Wednesday,January,Winter,5226
6/6/2022,4,5,Wind,157,Monday,June,Summer,1864
12/8/2021,18,19,Wind,342,Wednesday,December,Winter,5364
3/15/2020,1,2,Wind,75,Sunday,March,Spring,3727
3/18/2022,12,13,Wind,77,Friday,March,Spring,14015
3/11/2022,20,21,Wind,70,Friday,March,Spring,10416
2/6/2025,16,17,Wind,37,Thursday,February,Winter,12071
4/23/2022,0,1,Wind,113,Saturday,April,Spring,5823
2/13/2023,14,15,Solar,44,Monday,February,Winter,6344
12/26/2023,20,21,Wind,360,Tuesday,December,Winter,2721
8/24/2020,0,1,Wind,237,Monday,August,Summer,2460
10/29/2020,13,14,Wind,303,Thursday,October,Fall,8549
5/24/2022,23,0,Wind,144,Tuesday,May,Spring,1737
10/21/2024,8,9,Wind,295,Monday,October,Fall,4204
4/16/2022,18,19,Wind,106,Saturday,April,Spring,8184
5/16/2022,19,20,Solar,136,Monday,May,Spring,1701
5/19/2024,23,0,Wind,140,Sunday,May,Spring,1146
10/9/2022,17,18,Solar,282,Sunday,October,Fall,3480
5/19/2022,10,11,Wind,139,Thursday,May,Spring,7130
7/1/2022,7,8,Wind,182,Friday,July,Summer,2336
5/9/2023,8,9,Wind,129,Tuesday,May,Spring,4052
2/3/2022,16,17,Wind,34,Thursday,February,Winter,2472
6/6/2021,14,15,Solar,157,Sunday,June,Summer,5111
9/20/2021,4,5,Wind,263,Monday,September,Fall,1552
5/8/2024,19,20,Wind,129,Wednesday,May,Spring,4590
5/31/2020,17,18,Wind,152,Sunday,May,Spring,6587
3/27/2022,22,23,Wind,86,Sunday,March,Spring,2412
9/12/2022,18,19,Wind,255,Monday,September,Fall,2581
8/18/2024,11,12,Solar,231,Sunday,August,Summer,8765
5/4/2020,15,16,Solar,125,Monday,May,Spring,5337
10/23/2024,6,7,Wind,297,Wednesday,October,Fall,1709
2/10/2022,6,7,Wind,41,Thursday,February,Winter,5360
4/8/2020,17,18,Solar,99,Wednesday,April,Spring,2595
9/2/2022,1,2,Wind,245,Friday,September,Fall,2750
5/22/2022,2,3,Wind,142,Sunday,May,Spring,2963
1/28/2022,8,9,Wind,28,Friday,January,Winter,1216
7/12/2021,5,6,Wind,193,Monday,July,Summer,2454
11/5/2023,1,2,Wind,309,Sunday,November,Fall,14785
2/12/2024,7,8,Wind,43,Monday,February,Winter,2207
6/9/2024,4,5,Wind,161,Sunday,June,Summer,3499
5/3/2023,18,19,Wind,123,Wednesday,May,Spring,8694
2/22/2025,9,10,Wind,53,Saturday,February,Winter,10315
11/23/2024,3,4,Wind,328,Saturday,November,Fall,9018
4/20/2024,23,0,Wind,111,Saturday,April,Spring,6161
1/14/2022,10,11,Solar,14,Friday,January,Winter,2655
12/22/2024,14,15,Wind,357,Sunday,December,Winter,18534
1/1/2023,16,17,Wind,1,Sunday,January,Winter,9041
7/31/2023,6,7,Wind,212,Monday,July,Summer,8004
6/19/2021,15,16,Solar,170,Saturday,June,Summer,4434
6/15/2025,7,8,Wind,166,Sunday,June,Summer,2381
7/13/2023,11,12,Solar,194,Thursday,July,Summer,8460
11/20/2022,14,15,Wind,324,Sunday,November,Fall,11679
7/29/2023,16,17,Wind,210,Saturday,July,Summer,11633
6/26/2024,17,18,Solar,178,Wednesday,June,Summer,5746
5/27/2025,2,3,Wind,147,Tuesday,May,Spring,6782
5/17/2023,11,12,Solar,137,Wednesday,May,Spring,12591
11/5/2021,8,9,Wind,309,Friday,November,Fall,3138
9/20/2024,9,10,Wind,264,Friday,September,Fall,6343
8/2/2023,15,16,Wind,214,Wednesday,August,Summer,20359
5/13/2024,23,0,Wind,134,Monday,May,Spring,6358
12/25/2024,16,17,Wind,360,Wednesday,December,Winter,1322
9/29/2020,18,19,Wind,273,Tuesday,September,Fall,1250
2/4/2021,9,10,Wind,35,Thursday,February,Winter,2756
1/26/2021,12,13,Wind,26,Tuesday,January,Winter,5374
3/2/2023,11,12,Solar,61,Thursday,March,Spring,5920
8/29/2020,0,1,Wind,242,Saturday,August,Summer,3168
8/28/2020,14,15,Wind,241,Friday,August,Summer,8716
5/10/2023,8,9,Wind,130,Wednesday,May,Spring,7126
4/24/2023,17,18,Wind,114,Monday,April,Spring,8130
4/19/2022,2,3,Wind,109,Tuesday,April,Spring,2920
4/23/2022,13,14,Wind,113,Saturday,April,Spring,8065
9/25/2025,1,2,Wind,268,Thursday,September,Fall,3175
5/17/2023,10,11,Solar,137,Wednesday,May,Spring,10667
3/17/2020,21,22,Wind,77,Tuesday,March,Spring,596
7/6/2023,12,13,Solar,187,Thursday,July,Summer,6939
4/9/2020,9,10,Solar,100,Thursday,April,Spring,2595
5/1/2023,12,13,Solar,121,Monday,May,Spring,7715
4/21/2023,18,19,Solar,111,Friday,April,Spring,4021
5/5/2023,22,23,Wind,125,Friday,May,Spring,1319
4/24/2020,1,2,Wind,115,Friday,April,Spring,1022
7/17/2023,12,13,Solar,198,Monday,July,Summer,9207
11/6/2020,18,19,Wind,311,Friday,November,Fall,6817
3/17/2020,9,10,Solar,77,Tuesday,March,Spring,1714
